Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,24.88,0.734,0.266,43143796,3505660
 ,24.79,0.728,0.275,29467484,2458190
 ,24.56,0.715,0.293,19443501,1617566
 ,24.26,0.693,0.323,12524239,1017264
