Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,26.53,0.762,0.258,36172497,2876289
 ,26.53,0.761,0.263,24184518,1977139
 ,26.41,0.756,0.274,15881829,1298542
 ,26.19,0.743,0.294,10361047,820995
