Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,21.16,0.577,0.372,26519458,2094918
 ,21.13,0.573,0.377,18038726,1446302
 ,21.02,0.564,0.388,11722035,922272
 ,20.89,0.549,0.405,7494552,577974
