Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,26.78,0.838,0.148,38753920,3137452
 ,26.60,0.828,0.161,23199741,1926980
 ,26.21,0.807,0.194,13218263,1079279
 ,25.65,0.774,0.246,7682870,616312
