Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,30.49,0.921,0.130,13009176,1000366
 ,30.11,0.913,0.140,7414665,558630
 ,29.43,0.898,0.162,4220108,305387
 ,28.57,0.877,0.198,2488130,175276
