Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.11,0.918,0.212,8109458,617115
 ,30.94,0.913,0.224,4882174,352659
 ,30.53,0.904,0.245,2933748,205721
 ,30.19,0.893,0.271,1856904,125154
