Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.43,0.937,0.196,8768844,654960
 ,30.99,0.931,0.205,5486490,394525
 ,30.15,0.918,0.225,3306059,224711
 ,29.10,0.896,0.258,1976881,130602
