Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,22.53,0.629,0.364,28756243,2281930
 ,22.50,0.625,0.371,20548966,1682755
 ,22.42,0.617,0.389,14013911,1143224
 ,22.37,0.603,0.415,9154684,737939
