Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,30.16,0.905,0.251,13111140,1051036
 ,30.12,0.904,0.257,7498252,583003
 ,29.96,0.901,0.267,4400124,329756
 ,29.78,0.896,0.280,2695308,194785
