Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,29.10,0.899,0.253,22885307,1898344
 ,29.06,0.899,0.256,14421347,1192622
 ,29.01,0.897,0.263,9013419,727682
 ,28.91,0.893,0.274,5576048,442751
