Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,26.01,0.953,0.040,3022205,180943
 ,26.01,0.953,0.041,2409265,141068
 ,25.95,0.952,0.042,1750564,95535
 ,25.86,0.950,0.044,1365012,67815
