Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.07,0.901,0.115,2654041,150908
 ,30.93,0.900,0.117,2217885,121578
 ,30.61,0.897,0.120,1720673,88600
 ,30.11,0.892,0.128,1378536,65877
