Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,34.63,0.984,0.014,2982754,193853
 ,34.41,0.983,0.015,2185554,133680
 ,33.81,0.981,0.018,1451941,77650
 ,33.15,0.978,0.022,1066405,51175
