Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,35.25,0.980,0.020,2771137,174501
 ,35.12,0.980,0.020,2232825,136870
 ,34.70,0.978,0.023,1594056,90659
 ,34.04,0.975,0.027,1220201,64421
