Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,29.94,0.957,0.043,1910250,97430
 ,29.90,0.957,0.043,1667915,82254
 ,29.74,0.955,0.045,1333309,60440
 ,29.47,0.953,0.049,1080382,43219
