Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,37.28,0.983,0.024,1664392,85004
 ,37.05,0.983,0.025,1347654,62941
 ,36.37,0.980,0.030,944476,35950
 ,35.39,0.975,0.040,634220,21771
