Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,35.21,0.986,0.013,2049995,109494
 ,35.12,0.986,0.013,1505912,72842
 ,34.84,0.985,0.014,1068056,42158
 ,34.31,0.983,0.016,842584,27373
