Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,35.60,0.991,0.008,1460267,70353
 ,35.25,0.990,0.009,1143730,48674
 ,34.47,0.988,0.011,789538,27184
 ,33.72,0.985,0.016,543687,16834
