Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,25.04,0.870,0.161,14865085,1154561
 ,24.96,0.867,0.167,9627784,738400
 ,24.82,0.861,0.178,6433420,477287
 ,24.60,0.852,0.196,4279295,312244
