Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,21.64,0.799,0.228,9180336,660444
 ,21.59,0.794,0.236,6406260,456017
 ,21.46,0.784,0.251,4551350,312797
 ,21.36,0.772,0.271,3194867,213890
