Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
Baseline,27.05,0.802,0.239,23460290
,26.87,0.796,0.248,15351860
,26.50,0.784,0.268,9761150
,26.03,0.764,0.299,6162423
