Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
Baseline,29.63,0.902,0.252,17998223
,29.59,0.901,0.256,10959799
,29.48,0.899,0.265,6706771
,29.35,0.895,0.277,4135678
