Submethod,PSNR,SSIM,LPIPS,Size [Bytes]
Baseline,23.34,0.835,0.195,12022710
,23.28,0.831,0.202,8017022
,23.14,0.823,0.214,5492385
,22.98,0.812,0.233,3737081
